"","player","year","week","homeTeam","awayTeam","game","GamePasses","GameRushes","GameCatches","GameSacked","GamePassingYards","GamePassingTDS","GameRushingYards","RushingTD","GameReturnYards","GameReturnTDS","GameReceivingYards","RecivingTDS","AllPurposeYards","GameTouchdowns","TotalPlays3rdDown","Numberof3rdDownConversions","Player3rdDownEfficiency","CumulativePassAttemps","CumulativeRushAttepmts","CumulativeCatches","CumulativeBeenSacked","CumulativePassYards","CumulativePassingTDs","CumulativeRushingYards","CumulativeRushingTDs","CumulativeReturnYards","CumulativeReturnTDs","CumulativeReceivingYards","CumulativeReceivingTDs","CumulativeAllPurposeYards","CumulativeAllTouchdowns"
"1","Eric Crouch",2001,2,"Nebraska","Troy",5,15,14,0,1,118,0,56,1,0,0,0,0,174,1,6,0,"0",15,14,0,1,118,0,56,1,0,0,0,0,174,1
"2","Eric Crouch",2001,3,"Nebraska","Notre Dame",6,9,11,0,1,93,1,45,0,0,0,0,0,138,1,6,0,"0",24,25,0,2,211,1,101,1,0,0,0,0,312,2
"3","Eric Crouch",2001,5,"Nebraska","Rice",7,9,15,0,0,151,2,112,3,0,0,0,0,263,5,7,0,"0",33,40,0,2,362,3,213,4,0,0,0,0,575,7
"4","Eric Crouch",2001,6,"Missouri","Nebraska",8,14,16,0,0,139,0,189,2,0,0,0,0,328,2,13,0,"0",47,56,0,2,501,3,402,6,0,0,0,0,903,9
"5","Eric Crouch",2001,7,"Nebraska","Iowa State",9,13,13,0,0,101,0,86,4,0,0,0,0,187,4,5,0,"0",60,69,0,2,602,3,488,10,0,0,0,0,1090,13
"6","Eric Crouch",2001,8,"Baylor","Nebraska",10,10,18,0,0,51,0,134,3,0,0,0,0,185,3,9,0,"0",70,87,0,2,653,3,622,13,0,0,0,0,1275,16
"7","Eric Crouch",2001,10,"Nebraska","Oklahoma",1,18,14,1,0,100,0,23,0,0,0,63,1,186,1,10,0,"0",88,101,1,2,753,3,645,13,0,0,63,1,1461,17
"8","Eric Crouch",2001,11,"Kansas","Nebraska",2,25,12,0,1,163,0,57,1,0,0,0,0,220,1,11,0,"0",113,113,1,3,916,3,702,14,0,0,63,1,1681,18
"9","Eric Crouch",2001,12,"Nebraska","Kansas State",3,7,23,0,0,63,0,106,1,0,0,0,0,169,1,8,0,"0",120,136,1,3,979,3,808,15,0,0,63,1,1850,19
"10","Eric Crouch",2001,14,"Colorado","Nebraska",4,29,18,0,0,235,0,159,2,0,0,0,0,394,2,12,0,"0",149,154,1,3,1214,3,967,17,0,0,63,1,2244,21
"11","Robert Griffin III",2011,1,"Baylor","TCU",1,27,9,1,1,359,5,37,0,0,0,15,0,411,5,7,2,"0.2857143",27,9,1,1,359,5,37,0,0,0,15,0,411,5
"12","Robert Griffin III",2011,3,"Baylor","SF Austin",7,22,7,0,1,238,3,79,0,0,0,0,0,317,3,4,3,"0.75",49,16,1,2,597,8,116,0,0,0,15,0,728,8
"13","Robert Griffin III",2011,4,"Baylor","Rice",8,32,6,0,0,332,5,55,1,0,0,0,0,387,6,5,2,"0.4",81,22,1,2,929,13,171,1,0,0,15,0,1115,14
"14","Robert Griffin III",2011,5,"Kansas State","Baylor",9,31,7,0,4,353,5,33,0,0,0,0,0,386,5,7,1,"0.1428571",112,29,1,6,1282,18,204,1,0,0,15,0,1501,19
"15","Robert Griffin III",2011,6,"Baylor","Iowa State",10,29,22,0,3,212,1,135,1,0,0,0,0,347,2,10,3,"0.3",141,51,1,9,1494,19,339,2,0,0,15,0,1848,21
"16","Robert Griffin III",2011,7,"Texas A&M","Baylor",11,40,7,0,5,430,3,41,0,0,0,0,0,471,3,11,7,"0.6363636",181,58,1,14,1924,22,380,2,0,0,15,0,2319,24
"17","Robert Griffin III",2011,9,"Oklahoma State","Baylor",12,49,15,0,2,486,1,33,1,0,0,0,0,519,2,12,6,"0.5",230,73,1,16,2410,23,413,3,0,0,15,0,2838,26
"18","Robert Griffin III",2011,10,"Baylor","Missouri",2,41,17,0,2,406,3,77,1,0,0,0,0,483,4,12,3,"0.25",271,90,1,18,2816,26,490,4,0,0,15,0,3321,30
"19","Robert Griffin III",2011,11,"Kansas","Baylor",3,30,9,0,0,310,3,98,1,0,0,0,0,408,4,11,3,"0.2727273",301,99,1,18,3126,29,588,5,0,0,15,0,3729,34
"20","Robert Griffin III",2011,12,"Baylor","Oklahoma",4,34,12,0,2,479,4,37,0,0,0,0,0,516,4,11,3,"0.2727273",335,111,1,20,3605,33,625,5,0,0,15,0,4245,38
"21","Robert Griffin III",2011,13,"Baylor","Texas Tech",5,11,14,0,0,106,1,62,2,0,0,0,0,168,3,7,3,"0.4285714",346,125,1,20,3711,34,687,7,0,0,15,0,4413,41
"22","Robert Griffin III",2011,14,"Baylor","Texas",6,21,10,0,1,291,2,35,2,0,0,0,0,326,4,7,2,"0.2857143",367,135,1,21,4002,36,722,9,0,0,15,0,4739,45
"23","Saquon Barkley",2017,1,"Penn State","Akron",1,0,14,3,0,0,0,172,2,20,0,54,0,246,2,2,1,"0.5",0,14,3,0,0,0,172,2,20,0,54,0,246,2
"24","Saquon Barkley",2017,2,"Penn State","Pitt",2,0,14,4,0,0,0,103,1,50,0,45,1,198,2,2,0,"0",0,28,7,0,0,0,275,3,70,0,99,1,444,4
"25","Saquon Barkley",2017,3,"Penn State","Georgia State",3,0,10,4,0,0,0,47,0,37,0,142,1,226,1,1,0,"0",0,38,11,0,0,0,322,3,107,0,241,2,670,5
"26","Saquon Barkley",2017,4,"Iowa","Penn State",4,0,28,13,0,0,0,186,1,53,0,94,0,333,1,8,3,"0.375",0,66,24,0,0,0,508,4,160,0,335,2,1003,6
"27","Saquon Barkley",2017,5,"Penn State","Indiana",5,1,20,5,0,16,1,56,0,98,1,51,0,221,2,4,2,"0.5",1,86,29,0,16,1,564,4,258,1,386,2,1224,8
"28","Saquon Barkley",2017,6,"Northwestern","Penn State",6,0,22,4,0,0,0,20,0,0,0,17,0,37,0,4,0,"0",1,108,33,0,16,1,584,4,258,1,403,2,1261,8
"29","Saquon Barkley",2017,8,"Penn State","Michigan",7,0,15,7,0,0,0,108,2,15,0,53,1,176,3,0,0,"NaN",1,123,40,0,16,1,692,6,273,1,456,3,1437,11
"30","Saquon Barkley",2017,9,"OSU","Penn State",8,0,20,5,0,0,0,8,0,8,0,23,0,39,0,9,3,"0.3333333",1,143,45,0,16,1,700,6,281,1,479,3,1476,11
"31","J.T. Barrett",2017,1,"Indiana","OSU",1,34,11,0,1,230,2,66,0,0,0,0,0,296,2,15,6,"0.4",34,11,0,1,230,2,66,0,0,0,0,0,296,2
"32","J.T. Barrett",2017,2,"OSU","Oklahoma",2,35,15,0,3,183,0,81,0,0,0,0,0,264,0,12,4,"0.3333333",69,26,0,4,413,2,147,0,0,0,0,0,560,2
"33","J.T. Barrett",2017,3,"OSU","Army",3,31,4,0,2,230,1,36,0,0,0,0,0,266,1,5,2,"0.4",100,30,0,6,643,3,183,0,0,0,0,0,826,3
"34","J.T. Barrett",2017,4,"OSU","UNLV",4,17,4,0,1,207,5,22,0,0,0,0,0,229,5,3,0,"0",117,34,0,7,850,8,205,0,0,0,0,0,1055,8
"35","J.T. Barrett",2017,5,"Rutgers","OSU",5,22,8,0,2,275,3,84,0,0,0,0,0,359,3,4,1,"0.25",139,42,0,9,1125,11,289,0,0,0,0,0,1414,11
"36","J.T. Barrett",2017,6,"OSU","Maryland",6,30,8,0,0,253,2,74,1,0,0,0,0,327,3,8,3,"0.375",169,50,0,9,1378,13,363,1,0,0,0,0,1741,14
"37","J.T. Barrett",2017,7,"Nebraska","OSU",7,33,9,0,1,331,5,55,2,0,0,0,0,386,7,8,5,"0.625",202,59,0,10,1709,18,418,3,0,0,0,0,2127,21
"38","J.T. Barrett",2017,9,"OSU","Penn State",8,35,15,0,2,251,0,106,0,0,0,0,0,357,0,10,3,"0.3",237,74,0,12,1960,18,524,3,0,0,0,0,2484,21
"39","Lamar Jackson 2017",2017,1,"Purdue","Louisville",1,46,21,0,0,397,2,142,0,0,0,0,0,539,2,14,7,"0.5",46,21,0,0,397,2,142,0,0,0,0,0,539,2
"40","Lamar Jackson 2017",2017,2,"UNC","Louisville",2,39,17,0,2,393,3,139,3,0,0,0,0,532,6,14,6,"0.4285714",85,38,0,2,790,5,281,3,0,0,0,0,1071,8
"41","Lamar Jackson 2017",2017,3,"Louisville","Clemson",3,42,13,0,4,351,4,96,0,0,0,0,0,447,4,15,4,"0.2666667",127,51,0,6,1141,9,377,3,0,0,0,0,1518,12
"42","Lamar Jackson 2017",2017,4,"Louisville","Kent State",4,22,7,0,1,322,2,41,1,0,0,0,0,363,3,5,1,"0.2",149,58,0,7,1463,11,418,4,0,0,0,0,1881,15
"43","Lamar Jackson 2017",2017,5,"Louisville","Murray State",5,26,7,0,0,274,3,100,1,0,0,0,0,374,4,5,3,"0.6",175,65,0,7,1737,14,518,5,0,0,0,0,2255,19
"44","Lamar Jackson 2017",2017,6,"NC State","Louisville",6,45,13,0,4,346,0,90,0,0,0,0,0,436,0,15,8,"0.5333333",220,78,0,11,2083,14,608,5,0,0,0,0,2691,19
"45","Lamar Jackson 2017",2017,7,"Louisville","Boston College",7,39,22,0,0,346,2,175,3,0,0,0,0,521,5,12,3,"0.25",259,100,0,11,2429,16,783,8,0,0,0,0,3212,24
"46","Lamar Jackson 2017",2017,8,"FSU","Louisville",8,21,21,0,2,156,1,219,1,0,0,0,0,375,2,8,4,"0.5",280,121,0,13,2585,17,1002,9,0,0,0,0,3587,26
"47","Lamar Jackson 2017",2017,9,"Wake Forest","Louisville",9,45,21,0,6,385,2,207,3,0,0,0,0,592,5,15,6,"0.4",325,142,0,19,2970,19,1209,12,0,0,0,0,4179,31
"48","Bryce Love",2017,1,"Rice","Stanford",1,0,13,0,0,0,0,180,1,0,0,0,0,180,1,1,0,"0",0,13,0,0,0,0,180,1,0,0,0,0,180,1
"49","Bryce Love",2017,2,"USC","Stanford",2,0,17,0,0,0,0,160,1,0,0,0,0,160,1,2,1,"0.5",0,30,0,0,0,0,340,2,0,0,0,0,340,2
"50","Bryce Love",2017,3,"San Diego State","Stanford",3,0,13,1,0,0,0,184,2,0,0,3,0,187,2,2,1,"0.5",0,43,1,0,0,0,524,4,0,0,3,0,527,4
"51","Bryce Love",2017,4,"Stanford","UCLA",4,0,30,1,0,0,0,268,1,0,0,2,0,270,1,3,1,"0.3333333",0,73,2,0,0,0,792,5,0,0,5,0,797,5
"52","Bryce Love",2017,5,"Stanford","Arizona State",5,0,25,0,0,0,0,286,3,0,0,0,0,286,3,4,2,"0.5",0,98,2,0,0,0,1078,8,0,0,5,0,1083,8
"53","Bryce Love",2017,6,"Utah","Stanford",6,0,20,2,0,0,0,152,1,0,0,14,0,166,1,1,0,"0",0,118,4,0,0,0,1230,9,0,0,19,0,1249,9
"54","Bryce Love",2017,7,"Stanford","Oregon",7,0,17,0,0,0,0,147,2,0,0,0,0,147,2,1,0,"0",0,135,4,0,0,0,1377,11,0,0,19,0,1396,11
"55","Bryce Love",2017,9,"Oregon State","Stanford",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NaN",0,135,4,0,0,0,1377,11,0,0,19,0,1396,11
"56","Josh Adams",2017,1,"Notre Dame","Temple",1,0,19,0,0,0,0,175,2,0,0,0,0,175,2,4,3,"0.75",0,19,0,0,0,0,175,2,0,0,0,0,175,2
"57","Josh Adams",2017,2,"Notre Dame","Georgia",2,0,19,8,0,0,0,84,0,0,0,63,0,147,0,3,0,"0",0,38,8,0,0,0,259,2,0,0,63,0,322,2
"58","Josh Adams",2017,3,"Boston College","Notre Dame",3,0,18,2,0,0,0,229,0,0,0,9,0,238,0,5,3,"0.6",0,56,10,0,0,0,488,2,0,0,72,0,560,2
"59","Josh Adams",2017,4,"Michigan State","Notre Dame",4,0,9,1,0,0,0,71,0,0,0,0,0,71,0,1,0,"0",0,65,11,0,0,0,559,2,0,0,72,0,631,2
"60","Josh Adams",2017,5,"Notre Dame","Miami (OH)",5,0,8,1,0,0,0,159,2,0,0,0,0,159,2,2,2,"1",0,73,12,0,0,0,718,4,0,0,72,0,790,4
"61","Josh Adams",2017,6,"UNC","Notre Dame",6,0,13,1,0,0,0,118,1,0,0,15,0,133,1,5,3,"0.6",0,86,13,0,0,0,836,5,0,0,87,0,923,5
"62","Josh Adams",2017,8,"Notre Dame","USC",7,0,16,1,0,0,0,80,0,0,0,0,0,80,0,3,0,"0",0,102,14,0,0,0,916,5,0,0,87,0,1003,5
"63","Josh Adams",2017,9,"Notre Dame","NC State",8,0,27,1,0,0,0,202,1,0,0,-2,0,200,1,6,2,"0.3333333",0,129,15,0,0,0,1118,6,0,0,85,0,1203,6
"64","Baker Mayfield",2017,1,"Oklahoma","UTEP",1,20,1,0,1,329,3,2,0,0,0,0,0,331,3,2,1,"0.5",20,1,0,1,329,3,2,0,0,0,0,0,331,3
"65","Baker Mayfield",2017,2,"OSU","Oklahoma",2,32,5,0,2,322,0,8,0,0,0,0,0,330,0,9,4,"0.4444444",52,6,0,3,651,3,10,0,0,0,0,0,661,3
"66","Baker Mayfield",2017,3,"Oklahoma","Tulane",3,25,3,0,1,320,3,6,0,0,0,0,0,326,3,4,1,"0.25",77,9,0,4,971,6,16,0,0,0,0,0,987,6
"67","Baker Mayfield",2017,4,"Baylor","Oklahoma",4,19,6,0,2,283,3,35,0,0,0,0,0,318,3,5,1,"0.2",96,15,0,6,1254,9,51,0,0,0,0,0,1305,9
"68","Baker Mayfield",2017,6,"Oklahoma","Iowa State",5,33,9,0,2,306,2,68,1,0,0,0,0,374,3,7,4,"0.5714286",129,24,0,8,1560,11,119,1,0,0,0,0,1679,12
"69","Baker Mayfield",2017,7,"Texas","Oklahoma",6,27,5,0,2,302,2,36,0,0,0,0,0,338,2,9,2,"0.2222222",156,29,0,10,1862,13,155,1,0,0,0,0,2017,14
"70","Baker Mayfield",2017,8,"Kansas State","Oklahoma",7,42,7,0,2,403,3,86,2,0,0,0,0,489,5,7,3,"0.4285714",198,36,0,12,2265,16,241,3,0,0,0,0,2506,19
"71","Baker Mayfield",2017,9,"Oklahoma","Texas Tech",8,34,5,0,1,289,4,39,1,0,0,0,0,328,5,9,3,"0.3333333",232,41,0,13,2554,20,280,4,0,0,0,0,2834,24
"72","Lamar Jackson 2016",2016,1,"Louisville","Charlotte",1,23,11,0,0,286,6,134,2,0,0,0,0,420,8,3,1,"0.3333333",23,11,0,0,286,6,134,2,0,0,0,0,420,8
"73","Lamar Jackson 2016",2016,2,"Syracuse","Louisville",6,39,20,0,1,476,1,207,4,0,0,0,0,683,5,14,6,"0.4285714",62,31,0,1,762,7,341,6,0,0,0,0,1103,13
"74","Lamar Jackson 2016",2016,3,"Louisville","FSU",7,20,16,0,1,230,1,155,4,0,0,0,0,385,5,6,2,"0.3333333",82,47,0,2,992,8,496,10,0,0,0,0,1488,18
"75","Lamar Jackson 2016",2016,4,"Marshall","Louisville",8,44,11,0,1,423,5,70,2,0,0,0,0,493,7,11,4,"0.3636364",126,58,0,3,1415,13,566,12,0,0,0,0,1981,25
"76","Lamar Jackson 2016",2016,5,"Clemson","Louisville",9,44,26,0,5,309,1,194,2,0,0,0,0,503,3,19,6,"0.3157895",170,84,0,8,1724,14,760,14,0,0,0,0,2484,28
"77","Lamar Jackson 2016",2016,7,"Louisville","Duke",10,26,20,0,0,181,1,149,1,0,0,0,0,330,2,10,4,"0.4",196,104,0,8,1905,15,909,15,0,0,0,0,2814,30
"78","Lamar Jackson 2016",2016,8,"Louisville","NC State",11,31,13,0,3,262,0,79,0,0,0,0,0,341,0,10,3,"0.3",227,117,0,11,2167,15,988,15,0,0,0,0,3155,30
"79","Lamar Jackson 2016",2016,9,"UVA","Louisville",12,41,13,0,5,406,4,123,0,0,0,0,0,529,4,11,3,"0.2727273",268,130,0,16,2573,19,1111,15,0,0,0,0,3684,34
"80","Lamar Jackson 2016",2016,10,"Boston College","Louisville",2,17,14,0,1,253,4,188,3,0,0,0,0,441,7,5,0,"0",285,144,0,17,2826,23,1299,18,0,0,0,0,4125,41
"81","Lamar Jackson 2016",2016,11,"Louisville","Wake Forest",3,26,17,0,5,145,1,184,0,0,0,0,0,329,1,11,4,"0.3636364",311,161,0,22,2971,24,1483,18,0,0,0,0,4454,42
"82","Lamar Jackson 2016",2016,12,"Houston","Louisville",4,42,14,0,10,199,0,116,0,0,0,0,0,315,0,16,4,"0.25",353,175,0,32,3170,24,1599,18,0,0,0,0,4769,42
"83","Lamar Jackson 2016",2016,13,"Louisville","Kentucky",5,23,20,0,3,247,0,182,0,0,0,0,0,429,0,9,3,"0.3333333",376,195,0,35,3417,24,1781,18,0,0,0,0,5198,42
"84","Derrick Henry",2015,1,"Alabama","Wisconsin",1,0,10,2,0,0,0,52,0,0,0,12,0,64,0,2,1,"0.5",0,10,2,0,0,0,52,0,0,0,12,0,64,0
"85","Derrick Henry",2015,2,"Alabama","Mid Tennessee",7,0,18,1,0,0,0,96,3,0,0,0,0,96,3,2,2,"1",0,28,3,0,0,0,148,3,0,0,12,0,160,3
"86","Derrick Henry",2015,3,"Alabama","Ole Miss",8,0,23,6,0,0,0,127,1,0,0,39,0,166,1,3,1,"0.3333333",0,51,9,0,0,0,275,4,0,0,51,0,326,4
"87","Derrick Henry",2015,4,"Alabama","UL Monroe",9,0,13,0,0,0,0,52,1,0,0,0,0,52,1,2,1,"0.5",0,64,9,0,0,0,327,5,0,0,51,0,378,5
"88","Derrick Henry",2015,5,"Georgia","Alabama",10,0,26,2,0,0,0,152,1,0,0,0,0,152,1,6,0,"0",0,90,11,0,0,0,479,6,0,0,51,0,530,6
"89","Derrick Henry",2015,6,"Alabama","Arkansas",11,0,27,1,0,0,0,95,1,0,0,0,0,95,1,6,4,"0.6666667",0,117,12,0,0,0,574,7,0,0,51,0,625,7
"90","Derrick Henry",2015,7,"Texas A&M","Alabama",12,0,30,1,0,0,0,175,0,0,0,18,0,193,0,6,2,"0.3333333",0,147,13,0,0,0,749,7,0,0,69,0,818,7
"91","Derrick Henry",2015,8,"Alabama","Tennessee",13,0,28,0,0,0,0,143,2,0,0,0,0,143,2,2,1,"0.5",0,175,13,0,0,0,892,9,0,0,69,0,961,9
"92","Derrick Henry",2015,10,"Alabama","LSU",2,0,38,0,0,0,0,210,3,0,0,0,0,210,3,4,2,"0.5",0,213,13,0,0,0,1102,12,0,0,69,0,1171,12
"93","Derrick Henry",2015,11,"Miss St","Alabama",3,0,22,2,0,0,0,204,2,0,0,0,0,204,2,5,3,"0.6",0,235,15,0,0,0,1306,14,0,0,69,0,1375,14
"94","Derrick Henry",2015,12,"Alabama","Charleston So",4,0,9,1,0,0,0,68,2,0,0,28,0,96,2,1,1,"1",0,244,16,0,0,0,1374,16,0,0,97,0,1471,16
"95","Derrick Henry",2015,13,"Auburn","Alabama",5,0,46,0,0,0,0,271,1,0,0,0,0,271,1,6,3,"0.5",0,290,16,0,0,0,1645,17,0,0,97,0,1742,17
"96","Derrick Henry",2015,14,"Alabama","Florida",6,0,43,0,0,0,0,187,0,0,0,0,0,187,0,3,2,"0.6666667",0,333,16,0,0,0,1832,17,0,0,97,0,1929,17
"97","Marcus Mariota",2014,1,"Oregon","South Dakota",1,17,5,0,0,153,0,42,0,0,0,0,0,195,0,2,1,"0.5",17,5,0,0,153,0,42,0,0,0,0,0,195,0
"98","Marcus Mariota",2014,2,"Oregon","Michigan State",7,25,6,0,3,187,0,68,0,0,0,0,0,255,0,13,5,"0.3846154",42,11,0,3,340,0,110,0,0,0,0,0,450,0
"99","Marcus Mariota",2014,3,"Oregon","Wyoming",8,21,3,0,0,200,0,37,0,0,0,0,0,237,0,2,2,"1",63,14,0,3,540,0,147,0,0,0,0,0,687,0
"100","Marcus Mariota",2014,4,"Washington St","Oregon",9,25,6,0,7,344,5,106,0,0,0,0,0,450,5,9,4,"0.4444444",88,20,0,10,884,5,253,0,0,0,0,0,1137,5
"101","Marcus Mariota",2014,6,"Oregon","Arizona",10,32,4,1,5,287,2,11,0,0,0,26,1,324,3,10,5,"0.5",120,24,1,15,1171,7,264,0,0,0,26,1,1461,8
"102","Marcus Mariota",2014,7,"UCLA","Oregon",11,26,7,0,0,225,2,75,2,0,0,0,0,300,4,4,1,"0.25",146,31,1,15,1396,9,339,2,0,0,26,1,1761,12
"103","Marcus Mariota",2014,8,"Oregon","Washington",12,31,4,0,3,297,0,15,0,0,0,0,0,312,0,11,6,"0.5454545",177,35,1,18,1693,9,354,2,0,0,26,1,2073,12
"104","Marcus Mariota",2014,9,"Cal","Oregon",13,30,6,0,0,326,5,51,0,0,0,0,0,377,5,9,4,"0.4444444",207,41,1,18,2019,14,405,2,0,0,26,1,2450,17
"105","Marcus Mariota",2014,10,"Oregon","Stanford",2,30,8,0,1,258,2,92,2,0,0,0,0,350,4,7,4,"0.5714286",237,49,1,19,2277,16,497,4,0,0,26,1,2800,21
"106","Marcus Mariota",2014,11,"Utah","Oregon",3,26,14,0,4,196,0,152,0,0,0,0,0,348,0,10,3,"0.3",263,63,1,23,2473,16,649,4,0,0,26,1,3148,21
"107","Marcus Mariota",2014,13,"Oregon","Colorado",4,32,6,0,2,338,3,81,1,0,0,0,0,419,4,10,6,"0.6",295,69,1,25,2811,19,730,5,0,0,26,1,3567,25
"108","Marcus Mariota",2014,14,"Oregon State","Oregon",5,24,6,0,4,338,3,58,2,0,0,0,0,396,5,6,1,"0.1666667",319,75,1,29,3149,22,788,7,0,0,26,1,3963,30
"109","Marcus Mariota",2014,15,"Oregon","Arizona",6,36,7,0,0,298,0,16,0,0,0,0,0,314,0,8,4,"0.5",355,82,1,29,3447,22,804,7,0,0,26,1,4277,30
"110","Johnny Manziel",2012,2,"Texas A&M","Florida",5,30,14,0,3,173,0,76,1,0,0,0,0,249,1,13,5,"0.3846154",30,14,0,3,173,0,76,1,0,0,0,0,249,1
"111","Johnny Manziel",2012,3,"SMU","Texas A&M",6,37,11,0,2,305,4,133,2,0,0,0,0,438,6,16,5,"0.3125",67,25,0,5,478,4,209,3,0,0,0,0,687,7
"112","Johnny Manziel",2012,4,"Texas A&M","S Carolina St",7,20,6,0,2,174,3,82,2,0,0,0,0,256,5,5,1,"0.2",87,31,0,7,652,7,291,5,0,0,0,0,943,12
